RowID,Name,Comment,Note,Body,Smoky,Woody,Floral,Fruity,Winey
1,Aberfeldy,1898年にジョン・デュワーの息子たちによって設立されたアバフェルディ蒸溜所。現在も木製ウォッシュバックで長時間発酵させるなど伝統的製法が守られ、それによるハチミツのような甘い香りが生まれます。,"（テイスティングノート）
香り：オレンジトフィーやナッツ
味わい：芳醇なハチミツのようなまろやかさとフルーティーな味わい
余韻：スパイスとほのかなスモーキーさが感じられる後味",2,2,4,2,2,2
2,Aberlour,,"厳選したシェリー樽とバーボン樽の2種類の樽を使って熟成する“ダブルカスクマチュレーション”が特長です。シェリー樽とバーボン樽それぞれで熟成したウイスキーをバランスよく合わせることによって、完璧なバランスを生み出しています。
（テイスティングノート）
香り；様々なスパイス、プラリネ、スパイスオレンジ、リッチで深みのあるオロロソ・シェリーの香り
味わい；オレンジ、ブラックチェリー、ドライフルーツ、ジンジャー、ダークビターチョコレート、 シェリー、オーク、フルボディでクリーミー
フィニッシュ；強くて深い、エキゾチックなスパイスのビタースウィートさ、ダークチョコレート、オーク",3,1,5,2,3,2
3,AnCnoc,,,1,2,4,2,3,0
4,Ardbeg,,,4,4,3,0,1,0
5,Ardmore,,,2,2,5,1,1,1
6,ArranIsleOf,,,2,1,1,2,1,1
7,Auchentoshan,"オーヘントッシャン蒸溜所は、スコットランド随一の大都市グラスゴーから北西16キロほどのクライド湾を見下ろす斜面上に立地しています。大都市に近い立地から、都会的なスタイリッシュなシングルモルトとして知られています。ローランド地方は気候が穏やかなこともあるのか、ライトなウイスキーが多く、この地域を代表するシングルモルトであるオーヘントッシャンも軽やかでライトな味わいが特徴です。その味わいの特徴と立地条件から、都会的でカジュアルなシングルモルトとしてスタイリッシュに愉しまれています。
「オーヘントッシャン」とは、ゲール語で「野原の片隅」の意です。","極めて爽やかな香りと軽やかなボディが特徴のオーヘントッシャン。ピート香の軽い麦芽を厳選し、発酵は昔ながらの木桶発酵槽で行います。
そして最大の特徴はローランドの伝統である3回蒸溜を行っていること。通常モルトウイスキーの蒸溜は2回ですが、3回の蒸溜を行うことにより、蒸溜されるアルコール度数は高くなり純粋アルコールに近づいていきます。この製法により、オーヘントッシャンは軽やかで都会的なすっきりとした味わいに仕上がるのです。
色；非常に濃い琥珀色
香り；チョコレート・ドライフルーツ
味；複雑なウッディネス・厚みのある味わい
後味；クリーミー・ぬくもりのある長い余韻",0,0,4,3,3,0
8,Auchroisk,,,2,1,4,1,2,2
9,Aultmore,,,2,1,4,2,2,0
10,Balblair,,,2,2,3,1,2,0
11,Balmenach,,,4,2,3,2,1,3
12,Belvenie,,,3,1,2,2,2,1
13,BenNevis,,,4,2,4,2,2,0
14,Benriach,１８９８年創業、スペイサイドの中心に位置する。ノンピートの大麦麦芽とピートを使用した大麦麦芽の２つのタイプのシングルモルトウイスキーを製造するユニークな蒸溜所。この斬新な“ダブル蒸溜”の伝統と、希少となった自社内でのフロアモルティング、熟成と仕上げに様々な樽を使用する革新的な製造方法が特徴。,,2,1,2,2,3,0
15,Benrinnes,,,3,2,5,2,2,1
16,Benromach,,,2,2,4,2,2,1
17,Bladnoch,,,1,1,2,3,2,1
18,BlairAthol,,,2,2,4,2,2,2
19,Bowmore,,,2,3,2,2,1,1
20,Bruichladdich,,,1,2,4,2,2,1
21,Bunnahabhain,,,1,1,3,3,2,1
22,Caol Ila,,,3,4,3,1,1,0
23,Cardhu,,,1,1,4,2,2,0
24,Clynelish,,,3,3,2,0,2,0
25,Craigallechie,スコットランド・スペイサイド地区の中心、フィディック川とスペイ川の合流する地点に設立されたクライゲラキ蒸留所でつくりだされるシングルモルトウィスキー,,2,2,4,4,1,1
26,Craigganmore,,,2,2,4,2,2,0
27,Dailuaine,,,4,2,4,1,2,2
28,Dalmore,,,3,2,3,1,3,2
29,Dalwhinnie,,,2,2,3,2,2,0
30,Deanston,,,2,1,4,1,2,1
31,Dufftown,,,2,1,3,2,2,0
32,Edradour,,,2,1,6,2,2,1
33,"GlenDeveron
Macduff",,,2,1,2,1,0,2
34,GlenElgin,,,2,1,2,3,2,1
35,GlenGarioch,,,2,3,2,2,2,1
36,GlenGrant,,１８４０年創業、スコッチを代表するスペイサイド産のシングルモルトウイスキー。現在、販売量世界第６位のメジャーブランド。イタリアにおいては、断トツのＮｏ．１シングルモルトウイスキー。グレングラントのモットーは、Ｓｉｍｐｌｉｃｉｔｙ（飾り気のないこと）。新鮮なモルトフレーバーと透き通った液色が特徴。,1,0,3,1,2,1
37,GlenKeith,,,2,1,3,1,2,1
38,GlenMoray,,,1,1,4,4,2,1
39,GlenOrd,,,3,1,3,2,2,1
40,GlenScotia,,,2,2,4,1,1,1
41,GlenSpey,,,1,1,3,2,0,1
42,Glenallachie,,,1,1,3,2,2,0
43,Glendronach,,,4,2,4,0,2,4
44,Glendullan,,,3,1,3,2,3,2
45,Glenfarclas,,,2,1,5,2,2,3
46,Glenfiddich,,,1,1,2,2,2,0
47,Glengoyne,,,1,0,4,2,3,1
48,Glenkinchie,"”エジンバラモルト”とも呼ばれる、ローランドの雄
ローランド地方に現存する数少ない蒸留所の一つ。
スコットランドの首都、エジンバラの喧騒からわずか20マイル（約32km）にありながら、大麦畑に囲まれたのどかな風景の中にあり、生み出されるウイスキーは「エジンバラモルト」と呼ばれます。
地域：ローランド、スコットランド　設立：1837年","グレンキンチーはライトかつデリケートなシングルモルトで、
かすかなフローラルな芳香を伴うスイートかつクリーミーな飲み口です。
この繊細に洗練されたローランドモルトは夕食前の一杯としてまさにうってつけです。",1,1,2,2,2,0
49,Glenlivet,"創業時から変わらぬ伝統の製法と風土、選び抜かれた原材料と200年変わらぬマザーウォーター、そして熟練した職人たち、どれ一つ欠けても「ザ・グレンリベット」は生み出されません。
合計15基のポット・スチルから原酒が生み出され、65,000樽を越える原酒が眠っています。",,2,1,3,3,2,2
50,Glenlossie,,,1,1,3,2,2,0
51,Glenmorangie,,,2,1,3,2,2,0
52,Glenrothes,,,2,1,3,0,2,2
53,Glenturret,,,2,1,4,2,1,2
54,Highland Park,,,2,3,3,1,1,1
55,Inchgower,,,1,1,3,2,1,0
56,Isle of Jura,,,2,2,3,1,1,0
57,Knochando,,,2,1,3,2,2,1
58,Lagavulin,,,4,4,2,0,1,2
59,Laphroig,,,4,4,2,0,0,1
60,Linkwood,,,2,1,1,2,3,2
61,Loch Lomond,,,1,1,3,2,1,0
62,Longmorn,,,3,1,6,3,2,1
63,Macallan,,,4,1,4,1,3,4
64,Mannochmore,,,2,1,3,2,2,1
65,Miltonduff,,,2,1,3,2,1,0
66,Mortlach,,,3,2,3,2,2,3
67,Oban,,,2,2,4,0,2,0
68,OldFettercairn,,,1,2,5,1,1,1
69,OldPulteney,,,2,2,4,2,2,1
70,RoyalBrackla,,,2,2,2,2,3,1
71,RoyalLochnagar,,,3,2,4,1,3,2
72,Scapa,,,2,1,4,2,2,1
73,Speyburn,"ダイヤモンド・ジュビリーの年、つまりヴィクトリア女王在位60年の1897年に創業されました。 蒸留所はローゼスの町、北の端の深い峡谷の谷間にあります。時間に束縛されない感覚と静穏がそこにはあり、「これほどまでに風景と調和して建てられている蒸留所は他にはない」と言われるほど美しい風景として完成されています。
スペイバーンシングルモルトの中心となる仕込水はスペイ川の支流であるグランティ川の水で、スペイ川はその純度が高い事、世界クラスのサーモンフィッシングの場所として有名です。これが蒸留の伝統ある方法と組み合わさりスペイバーンシングルモルトにその独特の温かいフレーバーを与えます。","スペイサイドの華やかさとバランスの良さが素晴らしいシングルモルトです。
アペリティフにはハイボールで、食中には水割りで、食後にはストレートかロックで楽めます。
（テイスティングノート）
色 : 輝きのあるやや琥珀がかったレモンイエロー。　
香 : レモン、黄桃、シナモン、スペアミント、レモングラス、ハチミツ。
味 : アタックはレモンライムの甘酸っぱい味わい。酸と甘味のバランスがよく、クセが感じられずスッキリして徐々に甘さが心地よく広がります。バランスが良いため飲み飽きず余韻も爽やかな心地よい空間が漂います。なめらかなのど越し、爽やかでバランスの良さは女性やモルトを初めて飲まれる方、普段飲みのモルトファンにも気に入っていただけます。ミディアムボディ",2,1,2,2,1,0
74,Speyside,,,2,1,4,2,2,1
75,Springbank,,,2,2,3,1,0,1
76,Strathisla,,,2,1,6,2,3,2
77,Strathmill,,,2,1,3,2,3,0
78,Talisker,,,4,3,3,0,2,0
79,Tamdhu,,,1,1,3,2,2,1
80,Tamnavulin,,,1,2,3,3,2,0
81,Teaninich,,,2,2,0,2,2,0
82,Tobermory,,,1,1,3,2,2,0
83,Tomatin,,,2,2,3,1,0,1
84,Tomintoul,,,0,1,3,2,1,1
85,Tormore,,,2,1,3,0,0,1
86,Tullibardine,,,2,0,3,1,2,1
