index,name,intl_name,brand_name,brand_intl_name,year_month,rank,score,f1,f2,f3,f4,f5,f6,flavour_tags,checkin_count,pictures,id,f_mean
0,上川大雪,Kamikawataisetsu,北海道,Hokkaido,202001,1,4.299968719482422,0.5161028504371643,0.4847632944583893,0.2030293345451355,0.4194809794425965,0.2760851979255676,0.4530277848243714, グイグイ メロン フレッシュ 上品 丸み フルーティ 旨味 甘味 酸味 マスカット ガス 派手 若い スッキリ クリーミー バランス じっくり 苦味 スイスイ リンゴ,117,https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2NX31rUgKjVsRw|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/21uvaFXnDQVUkw|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2fP6gTGBkdGYOQ,0,0.3920815736055374
1,國稀,Kunimare,北海道,Hokkaido,202001,2,4.099462985992432,0.18775025010108948,0.3048584759235382,0.4171554744243622,0.5399348735809326,0.5274909734725952,0.35779330134391785, 辛口 蜜 スッキリ 力強い 旨味 ゴクゴク 洋梨 若い じっくり 薄い 円やか ちびちび 酸味 深み 苦味 まろやか 複雑 まったり しっかり 柔らかい,210,https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/14wSWJyK0n9iRJ|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2dHaPkJqgdEOS6|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/1DeujaIBuVPrFI,1,0.38916389147440594
2,男山,Otokoyama,北海道,Hokkaido,202001,3,4.095613956451416,0.277607262134552,0.3944351077079773,0.3270922005176544,0.5208351612091064,0.4542698860168457,0.42747563123703, 辛口 酸味 甘味 旨味 スッキリ 冷酒 常温 ヨーグルト ヤクルト 熱燗 ひろがる バランス じわじわ フルーティ 控えめ 円やか ちびちび ツン 濃厚 コク,397,https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2nh7XDaJlQN6zT|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/3xnHoPuN0mmpo|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2w2oapekek5Kxc,2,0.40028587480386096
3,国士無双,Kokushimuso,北海道,Hokkaido,202001,4,4.079436302185059,0.3879984319210053,0.25648656487464905,0.16193047165870667,0.3725110292434693,0.593511164188385,0.5161689519882202, 辛口 洋梨 ピリリ フルーティ 荒々しい スパイシー さらり 果物 酸味 さわやか スイスイ ミルク 円やか ほのか 丸み なめらか コク まろやか 心地よい 渋み,208,https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/194dYBpjKzEsf2|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2uvDyECN7Akg8w|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/OgNx1uWtet5Kd,3,0.38143443564573926
4,北の錦,Kitanonishiki,北海道,Hokkaido,202001,5,4.055022716522217,0.3442624509334564,0.39321020245552063,0.5012394189834595,0.5642642974853516,0.2119099646806717,0.3351538181304932, とろみ 荒々しい 力強い ほのか 薄い トロピカル ヨーグルト 濃厚 苦味 チーズ 旨味 リンゴ 紹興酒 こってり カラメル クリーミー 甘味 しっかり アミノ酸 冷酒,85,https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/1JtPTaIm9Z7kez|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2TBOCcMqAuLt94|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/21hwrvtaPsSy4m,4,0.39167335877815884
5,二世古,Niseko,北海道,Hokkaido,202001,6,4.026027202606201,0.3508962392807007,0.4744525253772736,0.41492903232574463,0.4477023482322693,0.3221823275089264,0.4187621176242829, 栗 砂糖 旨味 しっかり 複雑 マスカット 辛口 円やか 綺麗 キリリ 甘味 どっしり フルーティ ずっしり 酸味 燗冷まし さわやか スッキリ ガス カラメル,221,https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2hatuHnoRgd6bn|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/7127ntxTk84zd|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/utbzHlrpoNCAx,5,0.4048207650581996
6,北の誉,Kitanohomare,北海道,Hokkaido,202001,7,4.024529933929443,0.2963986694812775,0.3596402108669281,0.2554837763309479,0.7662781476974487,0.2480704486370087,0.26232361793518066, 芳香 洋梨 淡い クリーミー 昔ながら 熱燗 渋み 冷酒 旨味 するする 穀物 なめらか 控えめ 上品 辛口 ヨーグルト 柔らかい ふんわり 軽快 穏やか,67,https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/30bpoCOEMibMnK|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/143pMhgrbQe4Fx|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/mJ4SoH4o0rxQR,6,0.3646991451581319
7,北の勝,Kitanokatsu,北海道,Hokkaido,202001,8,4.024529933929443,0.4318096618134662,0.3902059515930742,0.2737962524573582,0.3979531895829387,0.3711160060419029,0.4813765882852068, マイルド フレッシュ 花 豊か キレ フルーティ ガス スッキリ 軽快 辛口 甘味 バランス まろやか しっかり 酸味 旨味,63,https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2Auvs7lhTTSSGY|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/13ZEsX0D3lEG0X|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2CZYbaG5GUUgYA,7,
8,千歳鶴,Chitosetsuru,北海道,Hokkaido,202001,9,4.018902778625488,0.2816706597805023,0.2632961571216583,0.22991377115249634,0.4661176204681397,0.6363363862037659,0.4198651611804962, ゴクゴク じわじわ セメダイン キリリ 複雑 豊か 辛口 ツン どっしり 華やか さらり リンゴ 熱燗 控えめ ふくよか 柔らかい フレッシュ 余韻 穏やか コク,81,https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2xB5buOm3hy1Y5|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/osBusIY1w9IFn|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/WwHo7RGSObewB,8,0.38286662598450977
9,福司,福司,北海道,Hokkaido,202001,10,4.0125675201416025,0.2534118592739105,0.3826322555541992,0.42035648226737976,0.44174858927726746,0.4816322922706604,0.4307712912559509, ハチミツ 穀物 ミルク 甘味 力強い キャラメル ガス ふくよか キレ フレッシュ 優しい あっさり 余韻 スッキリ コク ピリリ ヨーグルト さわやか 柔らかい 辛口,80,https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/23ZV6TLMr9omI4|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/2wRaFE3RKQKPez|https://s3-ap-northeast-1.amazonaws.com/physalis-sake-images/28VewrhkSVMEvC,9,0.40175879498322803
